0
num__GRUPOS
num__CLIENTES
num__TASA_PROM
num__INCREMENTO_CARTERA
num__N_SEMANAS_OBS
num__EDAD
num__TASA_DESEMBOLSO
num__CLIENTES_PRESTAMO_EVENTO
num__MONTO_DESEMBOLSO_EVENTO
num__CLIENTES_NUEVOS_EVENTO
cat__REGION
cat__RANGO_CICLO
cat__DIA_PAGO
cat__PUESTO
cat__PRODUCTO
cat__AREA
cat__TIPO_BAJA
cat__MOTIVO_BAJA
cat__EXP_MICROFINANZAS
cat__NIVEL_ESTUDIOS
cat__SEXO
cat__ESTADO_CIVIL
